target_gene_name,interactor_gene_name
ARHGAP18,HSPA1B;HSPA1A
ARHGAP18,HSPA2
ARHGAP18,HSPA8
ARHGAP18,HSPA9
ARHGAP18,IQSEC1;IQSEC2
ARHGAP18,IST1
ARHGAP18,KIAA0430
ARHGAP18,LSM1
ARHGAP18,LSM14A
ARHGAP18,LSM2
ARHGAP18,LSM4
ARHGAP18,LSM6
ARHGAP18,MAP7D2
ARHGAP18,MEA1
ARHGAP18,NAN
ARHGAP18,NBR1
ARHGAP18,NUDT21
ARHGAP18,PATL1
ARHGAP18,PICALM
ARHGAP18,PIK3C2A
ARHGAP18,PNRC1
ARHGAP18,REPS1
ARHGAP18,SCYL2
ARHGAP18,SEC13
ARHGAP18,SEC16A
ARHGAP18,SMAP2
ARHGAP18,STOM
ARHGAP18,SYNRG
ARHGAP18,TFRC
ARHGAP18,TNRC6B
ARHGAP18,WDR6
ARHGAP18,XRN1
ARHGAP18,YTHDC2
ARHGAP18,ZBTB10
ARHGAP21,PRR36
ARHGAP35,KIAA1211L
ARHGAP35,PA2G4
ARHGAP35,RASA1
ARHGAP8,PRR5-ARHGAP8;ARHGAP8
ARHGEF12,ARHGEF11
ARHGEF12,GIPC1
ARHGEF12,MYO6
ARHGEF12,VAPA
ARHGEF18,AKAP13
ARHGEF7,ARHGEF6
ARHGEF7,GIT1
ARHGEF7,GIT2
ARHGEF7,NCK2
ARHGEF7,PAK1
ARHGEF7,PAK2
ARHGEF7,PAK3
ARHGEF7,PXN
ARHGEF7,REPS1
ARHGEF7,SCRIB
ARHGEF7,YWHAE
ARHGEF7,YWHAG
ARHGEF7,YWHAH
ARID1A,ACTL6A
ARID1A,ANKRD26
ARID1A,BCL7A
ARID1A,DPF1
ARID1A,DPF2
ARID1A,DPF3
ARID1A,SMARCA2
ARID1A,SMARCA4
ARID1A,SMARCB1
ARID1A,SMARCC1
ARID1A,SMARCC2
ARID1A,SMARCD1
ARID1A,SMARCD2
ARID1A,SMARCD3
ARID1A,SMARCE1
ARID1A,SS18
ARID1A,SS18L1
ARID1B,DPF2
ARID1B,SMARCB1
ARID1B,SMARCE1
ARL1,EXOC4
ARL1,YWHAB
ARL1,YWHAE
ARL1,YWHAH
ARL1,YWHAQ
ARL1,YWHAZ
ARL13B,GEMIN4
ARL14EP,ACTR2
ARL14EP,APPL1
ARL14EP,ARPC1A
ARL14EP,ARPC2
ARL14EP,ATF7IP
ARL14EP,ATF7IP2
ARL14EP,BCOR
ARL14EP,DYNC2LI1
ARL14EP,RPS27A;UBC;UBB;UBA52
ARL14EP,SETDB1
ARL14EP,SNAP29
ARL14EP,YWHAB
ARL14EP,YWHAE
ARL14EP,YWHAG
ARL14EP,YWHAH
ARL14EP,YWHAQ
ARL14EP,YWHAZ
ARL2,ARL2-SNX15;ARL2
ARL2,TBCD
ARL2,TUBB4A
ARL2,TUBB4B
ARL2,YWHAB
ARL2,YWHAE
ARL2,YWHAH
ARL2,YWHAZ
ARL2BP,CFAP20
ARL2BP,YWHAB
ARL2BP,YWHAE
ARL2BP,YWHAQ
ARL2BP,YWHAZ
ARL3,ACTR2
ARL3,ACTR3
ARL3,APPL1
ARL3,ARL1
ARL3,ARPC1A
ARL3,ARPC2
ARL3,ATIC
ARL3,BAIAP2
ARL3,M6PR
ARL3,NAP1L4
ARL3,PDE6D
ARL3,SLC37A4
ARL3,TRAPPC13
ARL3,TRAPPC4
ARL3,TRAPPC8
ARL3,YWHAB
ARL3,YWHAE
ARL3,YWHAG
ARL3,YWHAH
ARL3,YWHAQ
ARL3,YWHAZ
ARL6,YWHAZ
ARL6IP1,ARL6IP5
ARL6IP1,ATL2
ARL6IP1,ATL3
ARL6IP1,BCAP31
ARL6IP1,CTDNEP1
ARL6IP1,ESYT1
ARL6IP1,ESYT2
ARL6IP1,FAM134A
ARL6IP1,FAM134B
ARL6IP1,NSF
ARL6IP1,RAB2A
ARL6IP1,RAB5C
ARL6IP1,RABAC1
ARL6IP1,REEP4
ARL6IP1,REEP5
ARL6IP1,RTN3
ARL6IP1,SCFD1
ARL6IP1,VAPA
ARL6IP5,ACTR2
ARL6IP5,ARPC1A
ARL6IP5,ARPC1B
ARL6IP5,ARPC2
ARL6IP5,LMNB2
ARL6IP5,YWHAB
ARL6IP5,YWHAE
ARL6IP5,YWHAG
ARL6IP5,YWHAH
ARL6IP5,YWHAQ
ARL6IP5,YWHAZ
