target_gene_name,interactor_gene_name,interaction_stoichiometry
ANAPC2,NEK2,0.05867167
ANAPC2,PYCR1,1.525910853
ANAPC2,PYCR2,0.804747724
ANAPC2,SRI,5.345552304
ANAPC4,ANAPC1,0.263412647
ANAPC4,ANAPC10,0.285007909
ANAPC4,ANAPC11,0.181691956
ANAPC4,ANAPC13,0.148596872
ANAPC4,ANAPC16,0.524292159
ANAPC4,ANAPC2,0.48972992
ANAPC4,ANAPC5,0.210908665
ANAPC4,ANAPC7,0.771444008
ANAPC4,BUB1,0.001630006
ANAPC4,BUB1B,0.047214248
ANAPC4,BUB3,0.024601826
ANAPC4,CCT7,0.034875747
ANAPC4,CDC16,0.761614623
ANAPC4,CDC20,0.047846974
ANAPC4,CDC23,0.481916535
ANAPC4,CDC26,0.7335667
ANAPC4,CDC27,0.723867552
ANAPC4,DCAF11,3.78E-05
ANAPC4,DEPDC1B,0.00144318
ANAPC4,FBXO5,0.027639332
ANAPC4,FHOD3,0.005508703
ANAPC4,FZR1,0.081668522
ANAPC4,HP1BP3,0.003397973
ANAPC4,KIF18A,0.017232577
ANAPC4,KLHL7,0.002527866
ANAPC4,MAD2L1,0.014034198
ANAPC4,NEK2,0.126468305
ANAPC4,PYCR1,0.605249282
ANAPC4,PYCR2,1.170909251
ANAPC4,TERF2IP,0.00582147
ANKRD10,TAB2,0.006338422
ANKRD10,TRIP6,0.003916357
ANKRD13A,RHOB,0.014110671
ANKRD13A,RPS27A;UBC;UBB;UBA52,3.706250859
ANKRD17,ANKHD1,0.016061378
ANKRD17,HOXB6,0.051779848
ANKRD17,LONP1,0.031963702
ANKRD27,NCOA1,0.008712136
ANKRD27,SRSF1,0.734234234
ANKRD27,TBC1D4,0.008185006
ANKRD27,TRIP6,0.01434275
ANKRD28,ANKRD44,0.376633312
ANKRD28,ANKRD52,0.085831368
ANKRD28,AP2A2,0.003987981
ANKRD28,AP2M1,0.003135569
ANKRD28,ARHGEF2,0.254346625
ANKRD28,IQSEC1,0.355884116
ANKRD28,PPIP5K2,0.00147729
ANKRD28,PPP6C,0.815100865
ANKRD28,PPP6R1,0.564854977
ANKRD28,PPP6R2,0.342798951
ANKRD28,PPP6R3,0.462983158
ANKRD28,PRKDC,0.012868784
ANKRD39,CDC25C,0.000554007
ANKRD39,MED18,inf
ANKRD39,NEDD8;NEDD8-MDP1,0.015072579
ANKRD39,SRSF1,0.052629796
ANKRD40,AHCY,0.029427767
ANKRD40,C2ORF44,0.002180995
ANKRD40,EP400,0.000217593
ANKRD46,15/09/2021 0:00,0.002506306
ANKRD46,ATRN,0.020223276
ANKRD46,BNIP1,0.003755022
ANKRD46,CANX,0.019805386
ANKRD46,FAF2,0.025581507
ANKRD46,LMAN2L,0.007822498
ANKRD46,MGRN1,0.082164236
ANKRD46,NBAS,0.000136451
ANKRD46,PGRMC2,0.007273011
ANKRD46,SEC62,0.001588931
ANKRD46,SPCS3,0.003907859
ANKRD46,SRPRB,0.037798767
ANKRD46,TMX1,0.028321428
ANKRD46,VEZT,0.004774927
ANKRD46,ZMPSTE24,0.000643504
ANKRD52,ANKRD28,0.066045415
ANKRD52,PPP6C,0.351127473
ANKRD52,PPP6R1,0.04244429
ANKRD52,PPP6R2,0.136043926
ANKRD52,PPP6R3,0.393969821
ANKRD54,DOCK1,0.000379019
ANKRD54,FAM192A;NIP30,0.012509594
ANKRD54,HNRNPUL2-BSCL2;HNRNPUL2,0.088888758
ANKRD54,KIAA1279,0.000378306
ANKRD54,KPNA2,0.008962923
ANKRD54,PSME3,0.109900058
ANKRD54,SNX33,0.002386873
ANKRD54,TULP3,0.003996176
ANKZF1,APRT,0.002969527
ANKZF1,PSMA5,0.012666699
ANKZF1,PSMA6,0.004251696
ANKZF1,PSMB2,0.005773581
ANKZF1,PSMB7,0.000351868
ANKZF1,PSMC3,0.013508509
ANKZF1,PSMC4,0.00471146
ANKZF1,PSMC5,0.012069352
ANKZF1,PSMC6,0.008701051
ANKZF1,PSMD11,0.002717119
ANKZF1,PSMD12,0.002059896
ANKZF1,PSMD13,0.002567394
ANKZF1,PSMD3,0.0054659
ANKZF1,PSMD6,0.004559338
ANKZF1,PSMD7,0.006210926
ANLN,APMAP,0.000207181
ANLN,FLOT2,0.0005898
ANLN,GEMIN4,2.64E-06
ANLN,IQGAP3,0.000674942
ANLN,PPIF,0.001678255
ANLN,SRI,0.152827594
ANXA11,OAT,0.160431027
ANXA11,PRDX3,0.457207754
AP2B1,AAK1,0.017987287
AP2B1,AP2A1,0.332957375
AP2B1,AP2A2,0.513183821
AP2B1,AP2M1,0.938776532
AP2B1,AP2S1,0.254023328
AP2B1,BMP2K,0.013129589
AP2B1,CALCOCO1,0.001035152
AP2B1,EPS15,0.309701642
AP2B1,EPS15L1,1.507224469
AP2B1,FCHO2,0.091575997
AP2B1,NUMB,0.018971966
AP2B1,REPS1,0.005731749
AP2S1,AAGAB,0.101514126
AP2S1,AAK1,0.026201525
AP2S1,AP2A1,0.130959758
AP2S1,AP2A2,0.341230126
AP2S1,AP2B1,0.328178418
AP2S1,AP2M1,0.267200152
AP2S1,BMP2K,0.001792222
AP2S1,C15ORF57,0.260873226
AP2S1,EPS15,0.155556608
AP2S1,EPS15L1,0.034652742
AP2S1,FCHO2,0.071829701
AP2S1,HIST1H1B,0.067010749
AP2S1,PAICS,0.003325797
AP2S1,RAN,0.04519599
APC,CTNNB1,3.342479824
APC,TRAP1,2.741749464
APPL1,ACTR2,0.021263234
APPL1,APPL2,0.041810413
APPL1,ARPC1A,0.008278293
APPL1,ARPC2,0.00289996
APPL1,CAMSAP3,3.29E-06
APPL1,KIAA0430,1.69E-05
APPL1,YWHAB,0.096553845
APPL1,YWHAE,0.18070039
APPL1,YWHAG,0.020811372
APPL1,YWHAH,0.046822973
APPL1,YWHAQ,0.056279051
APPL1,YWHAZ,0.722423732
APPL2,APPL1,0.119723789
ARAF,CDC37,1.596450142
ARAF,RAF1,1.757081807
ARAF,YWHAB,2.702429566
ARAF,YWHAG,1.582270436
ARAF,YWHAH,2.354985755
ARAF,YWHAZ,12.17667379
ARF1,ARF1;ARF3,1
ARF1,ARFIP2,0.003476377
ARF3,ANKHD1,0.001385471
ARF3,ARF1;ARF3,1
ARF3,RAI1,9.10E-05
ARF4,ARF5,0.005098127
ARF4,BCAP31,0.003989391
ARF4,ERP44,0.119513096
ARF4,HSP90B1,0.021260891
ARF4,LMAN2,0.336735056
ARF4,SERPINH1,0.176565633
ARF4,WBP11,0.304294134
ARF5,ERP44,0.008469645
ARF5,LMAN2,0.039054553
ARF5,RRP36,0.004925775
ARF5,SERPINH1,0.047755545
ARF6,KAT2A,0.0095887
ARF6,SMARCD2,0.000177117
ARF6,USP6NL,0.019813668
ARFGAP1,CD2AP,0.000295497
ARFGAP1,COPG2,0.004943361
ARFGAP2,MAD2L1,0.000750643
ARFGAP3,SNAPC4,0.00073513
ARFGEF1,AKAP10,0.390248439
ARFGEF1,ARFGEF2,0.156849334
ARFGEF1,C13ORF34;BORA,0.002180028
ARFGEF1,DPY30,0.377016574
ARFGEF1,MSH2,0.003374365
ARFGEF1,MSH6,0.001350315
ARFGEF1,MYCBP,0.299546951
ARFGEF1,TATDN3,0.000346248
ARFGEF2,AKAP10,2.462638009
ARFGEF2,ARFGEF1,0.162645642
ARFGEF2,DPY30,0.111777905
ARFGEF2,MYCBP,0.940594546
ARFIP1,ARFIP2,0.161297175
ARFIP1,ARL1,0.007767822
ARFIP1,HAUS2,0.00727287
ARFIP1,HAUS6,0.000887934
ARFIP1,HAUS7,0.004777348
ARFIP2,ARFIP1,0.342424987
ARFIP2,CCAR1,0.004038759
ARHGAP1,RHOC,0.000203835
ARHGAP11A,CAPZA2,1.447932849
ARHGAP11A,CD2AP,0.102406759
ARHGAP11A,DCTN1;DKFZP686E0752,0.000556047
ARHGAP11A,TWF1,0.128110993
ARHGAP11AB,ACTB,134852.6316
ARHGAP11AB,STOM,10442
ARHGAP15,BCAP29,
