target_gene_name,interactor_gene_name,pval
ANAPC4,MAD2L1,24.89723146
ANAPC4,NEK2,65.65602603
ANAPC4,PYCR1,5.599503032
ANAPC4,PYCR2,23.13927901
ANAPC4,TERF2IP,3.778777612
ANKRD10,TAB2,4.057946348
ANKRD10,TRIP6,3.468168799
ANKRD13A,RHOB,6.474675017
ANKRD13A,RPS27A;UBC;UBB;UBA52,5.777261302
ANKRD17,ANKHD1,6.057243135
ANKRD17,HOXB6,24.15616936
ANKRD17,LONP1,11.41861314
ANKRD27,NCOA1,3.286277376
ANKRD27,SRSF1,4.141133867
ANKRD27,TBC1D4,3.037847996
ANKRD27,TRIP6,3.503962065
ANKRD28,ANKRD44,7.413752296
ANKRD28,ANKRD52,59.48655673
ANKRD28,AP2A2,7.519785482
ANKRD28,AP2M1,5.735637095
ANKRD28,ARHGEF2,11.34935196
ANKRD28,IQSEC1,4.977917283
ANKRD28,PPIP5K2,8.341142594
ANKRD28,PPP6C,36.36039872
ANKRD28,PPP6R1,54.73281603
ANKRD28,PPP6R2,32.11457987
ANKRD28,PPP6R3,15.83109393
ANKRD28,PRKDC,5.40970009
ANKRD39,CDC25C,2.774501206
ANKRD39,MED18,3.971511422
ANKRD39,NEDD8;NEDD8-MDP1,7.042222344
ANKRD39,SRSF1,4.041156823
ANKRD40,AHCY,12.20517533
ANKRD40,C2ORF44,5.724557279
ANKRD40,EP400,4.229718772
ANKRD46,15/09/2021 0:00,8.580687236
ANKRD46,ATRN,47.15361891
ANKRD46,BNIP1,14.57554723
ANKRD46,CANX,13.53764382
ANKRD46,FAF2,120.2532788
ANKRD46,LMAN2L,86.25320099
ANKRD46,MGRN1,30.60441828
ANKRD46,NBAS,20.02232317
ANKRD46,PGRMC2,26.08242131
ANKRD46,SEC62,23.38485239
ANKRD46,SPCS3,13.107489
ANKRD46,SRPRB,19.59264917
ANKRD46,TMX1,32.53037329
ANKRD46,VEZT,13.0909384
ANKRD46,ZMPSTE24,19.43069588
ANKRD52,ANKRD28,49.36352081
ANKRD52,PPP6C,23.18560016
ANKRD52,PPP6R1,30.4057114
ANKRD52,PPP6R2,22.66174544
ANKRD52,PPP6R3,11.7179169
ANKRD54,DOCK1,7.703425566
ANKRD54,FAM192A;NIP30,18.86191582
ANKRD54,HNRNPUL2-BSCL2;HNRNPUL2,18.98603176
ANKRD54,KIAA1279,3.67277714
ANKRD54,KPNA2,4.177856246
ANKRD54,PSME3,16.49211913
ANKRD54,SNX33,25.82912168
ANKRD54,TULP3,39.32791497
ANKZF1,APRT,8.320917321
ANKZF1,PSMA5,6.706099722
ANKZF1,PSMA6,5.06937809
ANKZF1,PSMB2,6.408966306
ANKZF1,PSMB7,7.322680614
ANKZF1,PSMC3,9.363208154
ANKZF1,PSMC4,7.223898611
ANKZF1,PSMC5,12.10880991
ANKZF1,PSMC6,10.08046524
ANKZF1,PSMD11,6.614731656
ANKZF1,PSMD12,5.78889573
ANKZF1,PSMD13,8.585424473
ANKZF1,PSMD3,6.329432798
ANKZF1,PSMD6,4.872076434
ANKZF1,PSMD7,5.643170258
ANLN,APMAP,2.950944973
ANLN,FLOT2,3.594897104
ANLN,GEMIN4,6.404251826
ANLN,IQGAP3,7.495732793
ANLN,PPIF,3.161601419
ANLN,SRI,3.889112624
ANXA11,OAT,4.307278592
ANXA11,PRDX3,4.473024491
AP2B1,AAK1,131.9582529
AP2B1,AP2A1,11.34017274
AP2B1,AP2A2,41.14609079
AP2B1,AP2M1,36.46767179
