target_gene_name,interactor_gene_name,pval,enrichment,interaction_stoichiometry,abundance_stoichiometry
ACTN4,CAPZB,8.965368846,3.60594976,0.004381131,0.090866023
ACTN4,CTTN,8.133300981,3.144529726,0.008327628,0.037011976
ACTN4,LMO7,13.20475606,4.067844115,0.003456242,0.00089863
ACTN4,MYO1B,9.109928332,3.504328587,0.000661999,0.024887457
ACTN4,PDLIM1,16.30662211,4.875980145,0.00128141,0.108729368
ACTN4,PPP1R12A,7.670197333,4.15694865,0.000347368,0.036313598
ACTN4,PPP1R9B,10.8290906,3.59006568,0.007334968,0.008818868
ACTN4,SPECC1L;SPECC1L-ADORA2A,30.92165493,8.367826483,0.000251888,0.020042356
ACTN4,UNNAMED,10.34929921,3.38886495,0.003945497,0
ACTR2,ACTR3,11.16581296,3.562918795,1.120151758,0.85926878
ACTR2,ACTR3B,13.11243997,4.082494298,0.068698783,0.008001442
ACTR2,ANGPT1,4.407001028,2.063530769,0.006869028,0
ACTR2,ANP32A,3.089088849,2.181428629,0.004910981,3.097294013
ACTR2,APPL1,3.163574063,2.678587172,0.001708759,0.080836517
ACTR2,ARL1,3.041498124,1.864064738,0.005158759,0.574120409
ACTR2,ARPC1A,18.33849537,4.890377592,0.579914855,0.420824227
ACTR2,ARPC1B,17.96297237,4.868327636,0.132671284,0.382760711
ACTR2,ARPC2,17.17554658,4.676718647,0.676840655,0.782694334
ACTR2,ARPC3,20.75867747,5.047440908,1.151108049,0.262288561
ACTR2,ARPC4-TTLL3;ARPC4,10.63640638,3.629087202,0.425668028,0.730057896
ACTR2,ARPC5,29.18868838,6.12593996,0.598103293,0.167876495
ACTR2,ARPC5L,26.52619457,5.82679067,0.678155085,0.338535621
ACTR2,ATIC,3.947237181,1.894727861,0.000839422,1.342872125
ACTR2,BAIAP2,4.599215376,2.857139761,0.000474729,0.09128534
ACTR2,CEP85L,3.786151357,2.705914767,0.000102064,0.007071517
ACTR2,CHURC1;CHURC1-FNTB,6.127992359,2.163223889,0.000839234,0.458177541
ACTR2,CLASP1,3.480801127,2.17153905,0.000697328,0.061832047
ACTR2,CLEC16A,12.15815243,3.941372962,0.005826861,0.006285265
ACTR2,CRTC2,3.084254964,1.927761786,0.000208935,0.063558694
ACTR2,EIF2B1,3.989967193,1.651498099,0.000236793,0.436977915
ACTR2,ESD,4.066573342,2.126114679,0.000129513,1.925741254
ACTR2,GAPDH,5.042354994,2.248212287,0.032114621,15.10824781
ACTR2,HSP90AB2P,4.088511305,1.819990889,0.006870162,0
ACTR2,KLC2,3.557421731,2.65024573,0.000807327,0.051901872
ACTR2,MARK2,2.624166956,2.835979915,0.00013604,0.072326873
ACTR2,MNDA,8.666648444,3.215647912,0.00099585,0
ACTR2,MTHFD1,3.762936994,2.137153126,0.000636665,1.69164467
ACTR2,NCKIPSD,8.275295423,3.711903872,0.002777663,0.084814467
ACTR2,NDUFA10,2.318474064,2.161901583,0.001768685,0.322376208
ACTR2,NME2,3.456807379,2.066007097,0.004083413,0.005035808
ACTR2,PAICS,4.309044396,2.77787005,0.003182251,1.336251779
ACTR2,PFN1,3.101862955,1.90843595,0.012884811,4.850775339
ACTR2,PPIA,3.777081777,1.740754708,0.041879544,64.71466027
